Image URL,Appears on,Alt text
/0104_14_10_KR_0022.jpg,/admission/, changethisalttext
,/admission/apply/, changethisalttext
,/admission/apply/financial-aid/, changethisalttext
,/admission/apply/first-year-applicants/, changethisalttext
,/admission/apply/first-year-applicants/arts/, changethisalttext
,/admission/apply/first-year-applicants/interviews/, changethisalttext
,/admission/apply/how-to-apply/, changethisalttext
,/admission/apply/international/, changethisalttext
,/admission/apply/questbridge/, changethisalttext
,/admission/apply/transfer/, changethisalttext
,/admission/apply/veterans/, changethisalttext
,/admission/connect/, changethisalttext
,/admission/connect/for-counselors/, changethisalttext
,/admission/connect/meet-the-students/, changethisalttext
,/admission/explore/, changethisalttext
,/admission/explore/academics/, changethisalttext
,/admission/explore/campus/, changethisalttext
,/admission/explore/diversity-inclusion/, changethisalttext
,/admission/explore/outcomes/, changethisalttext
,/admission/explore/poughkeepsie-hudson-valley/, changethisalttext
,/admission/explore/student-life/, changethisalttext
,/admission/financial-aid/, changethisalttext
,/admission/financial-aid/aid-calculators/, changethisalttext
,/admission/financial-aid/apply/, changethisalttext
,/admission/financial-aid/forms/, changethisalttext
,/admission/financial-aid/tuition/, changethisalttext
,/admission/financial-aid/types-of-aid/, changethisalttext
,/admission/quick-facts/, changethisalttext
,/admission/visit/, changethisalttext
,/admission/visit/class-visits/, changethisalttext
,/admission/visit/group-visits/, changethisalttext
,/admission/visit/in-person/, changethisalttext
,/admission/visit/on-demand/, changethisalttext
,/admission/visit/virtual-programs/, changethisalttext
/admission/assets/images/admission-home/favplaces-v2.jpg,/admission/, Student describing favorite place on campus
/admission/assets/images/admission-home/video/day-1.jpg,/admission/, asdfasdf
/admission/assets/images/admission-home/video/dorm-a-1.jpg,/admission/, asdfasdf
/admission/assets/images/admission-home/video/dorm-b.jpg,/admission/, asdfasdf
/admission/assets/images/admission-home/video/food-1.jpg,/admission/, asdfasdf
,/admission/visit/on-demand/, asdfasdf
/admission/assets/images/admission-home/video/words-4.jpg,/admission/, asdfasdf
/admission/assets/images/apply/0084_16_04_KR_0013.jpg,/admission/apply/, alt text
/admission/assets/images/apply/financial-aid/0050_14_05_JA_1874.jpg,/admission/apply/, replacealttext
/admission/assets/images/apply/how-to-apply/110519_160over90_Vassar_0221.jpg,/admission/apply/first-year-applicants/, replacealttext
,/admission/apply/first-year-applicants/arts/, replacealttext
,/admission/apply/first-year-applicants/interviews/, replacealttext
,/admission/apply/international/, replacealttext
,/admission/apply/questbridge/, replacealttext
,/admission/apply/transfer/, replacealttext
,/admission/apply/veterans/, replacealttext
/admission/assets/images/apply/international/0074_15_08_KR_0088.jpg,/admission/apply/first-year-applicants/, replacealttext
,/admission/apply/first-year-applicants/arts/, replacealttext
,/admission/apply/first-year-applicants/interviews/, replacealttext
,/admission/apply/how-to-apply/, replacealttext
,/admission/apply/transfer/, replacealttext
,/admission/quick-facts/, replacealttext
/admission/assets/images/apply/transfer/0137_14_11_KR_0003.jpg,/admission/apply/first-year-applicants/, replacealttext
,/admission/apply/first-year-applicants/arts/, replacealttext
,/admission/apply/first-year-applicants/interviews/, replacealttext
,/admission/apply/how-to-apply/, replacealttext
,/admission/apply/international/, replacealttext
,/admission/apply/questbridge/, replacealttext
,/admission/apply/veterans/, replacealttext
,/admission/quick-facts/, replacealttext
/admission/assets/images/apply/veterans/0071-19-05-ss2-posse-vassar-0645.jpg,/admission/apply/, replacealttext
/admission/assets/images/explore/academics/110519_160over90_Vassar_1979.jpg,/admission/explore/campus/, replacealttext
,/admission/explore/diversity-inclusion/, replacealttext
,/admission/explore/outcomes/, replacealttext
,/admission/explore/poughkeepsie-hudson-valley/, replacealttext
,/admission/explore/student-life/, replacealttext
/admission/assets/images/explore/diversity/Kaleidoscope-0111_14_11_KR_0067.jpg,/admission/explore/campus/, replacealttext
,/admission/explore/student-life/, replacealttext
/admission/assets/images/explore/hudson/0148-18-11-kr-walkway-vassar-5527.jpg,/admission/visit/in-person/, replacealttext
,/admission/visit/virtual-programs/, replacealttext
/admission/assets/images/explore/hudson/Mid-Huson_Bridge_10_JGa.jpg,/admission/explore/poughkeepsie-hudson-valley/, alt text
/admission/assets/images/explore/outcomes/0002-20-01-kr-scc-networking-vassar-0041.jpg,/admission/explore/academics/, replacealttext
/admission/assets/images/explore/outcomes/Commencement_grads_11_JA_2.jpg,/admission/explore/outcomes/, alt text
/admission/assets/images/explore/student-life/Vassar_Campus_20190508_KR_5256.jpg,/admission/connect/for-counselors/, replacealttext
,/admission/connect/meet-the-students/, replacealttext
,/admission/explore/academics/, replacealttext
,/admission/explore/campus/, replacealttext
,/admission/explore/diversity-inclusion/, replacealttext
,/admission/explore/outcomes/, replacealttext
,/admission/explore/poughkeepsie-hudson-valley/, replacealttext
/admission/assets/images/financial-aid/0138-15-11-kr-vcdf-vassar-0110.jpg,/admission/apply/financial-aid/, replacealttext
,/admission/financial-aid/aid-calculators/, replacealttext
,/admission/financial-aid/apply/, replacealttext
,/admission/financial-aid/forms/, replacealttext
,/admission/financial-aid/tuition/, replacealttext
/admission/assets/images/financial-aid/0141-15-10-kr-fall-campus-vassar-0003.jpg,/admission/financial-aid/, alt text
/admission/assets/images/financial-aid/calculators/0107_15_10_TT_5727.jpg,/admission/apply/financial-aid/, replacealttext
/admission/assets/images/financial-aid/forms/0139_14_11_KR_0310.jpg,/admission/apply/financial-aid/, replacealttext
,/admission/financial-aid/aid-calculators/, replacealttext
,/admission/financial-aid/apply/, replacealttext
,/admission/financial-aid/tuition/, replacealttext
,/admission/financial-aid/types-of-aid/, replacealttext
/admission/assets/images/financial-aid/tuition/Vassar_Reception_20210601_KR_0173.jpg,/admission/financial-aid/apply/, replacealttext
,/admission/financial-aid/forms/, replacealttext
,/admission/financial-aid/types-of-aid/, replacealttext
/admission/assets/images/placeholder.jpg,/admission/explore/diversity-inclusion/, alt text
,/admission/visit/on-demand/, The College Search During the Pandemic
/admission/assets/images/visit/0055_15_04_KR_0110.jpg,/admission/visit/, replacealttext
/admission/assets/images/visit/0069-19-05-kr-spring-vassar-4632.jpg,/admission/visit/, alt text
